Precision,Recall,K,Modality,Perturbation,Cell Line,Timepoint,Time
0.0002207505518763797,0.0008278145695364238,1,Eq_scores,Compound,A549,48,Long
0.002286620664104108,0.0024834437086092716,3,Eq_scores,Compound,A549,48,Long
0.0004741119807344973,0.0012417218543046358,5,Eq_scores,Compound,A549,48,Long
0.0016556291390728477,0.0008278145695364238,1,CellProfiler,Compound,A549,48,Long
0.0006842369748200793,0.0020695364238410598,3,CellProfiler,Compound,A549,48,Long
0.0004010301692420897,0.0012417218543046358,5,CellProfiler,Compound,A549,48,Long
0.005182382003574056,0.005794701986754967,1,PCA,Compound,A549,48,Long
0.002414147952663115,0.005794701986754967,3,PCA,Compound,A549,48,Long
0.000967706578674112,0.0024834437086092716,5,PCA,Compound,A549,48,Long
0.002759381898454746,0.0033112582781456954,1,Eq_scores,Compound,A549,24,Short
0.0013081120791263168,0.0033112582781456954,3,Eq_scores,Compound,A549,24,Short
0.0006072416668443159,0.0037251655629139072,5,Eq_scores,Compound,A549,24,Short
0.002805371596762325,0.0024834437086092716,1,CellProfiler,Compound,A549,24,Short
0.0009465516088032644,0.0033112582781456954,3,CellProfiler,Compound,A549,24,Short
0.0021410499873799594,0.0037251655629139072,5,CellProfiler,Compound,A549,24,Short
0.0016212632106671842,0.0037251655629139072,1,PCA,Compound,A549,24,Short
0.0018933605026320258,0.0020695364238410598,3,PCA,Compound,A549,24,Short
0.00400083189247382,0.0041390728476821195,5,PCA,Compound,A549,24,Short
0.004096149129261712,0.002345474613686534,1,Eq_scores,Compound,U2OS,24,Short
0.002703537264795543,0.004277041942604856,3,Eq_scores,Compound,U2OS,24,Short
0.0025842672779758874,0.0041390728476821195,5,Eq_scores,Compound,U2OS,24,Short
0.0011037527593818985,0.0016556291390728477,1,CellProfiler,Compound,U2OS,24,Short
0.0003638745360599665,0.0016556291390728477,3,CellProfiler,Compound,U2OS,24,Short
0.00034689372437716803,0.0016556291390728477,5,CellProfiler,Compound,U2OS,24,Short
0.0016899349680806635,0.0033112582781456954,1,PCA,Compound,U2OS,24,Short
0.0008348974749442221,0.0033112582781456954,3,PCA,Compound,U2OS,24,Short
0.0002465648161012399,0.002207505518763797,5,PCA,Compound,U2OS,24,Short
0.002842163355408389,0.0041390728476821195,1,Eq_scores,Compound,U2OS,48,Long
0.001220126691621077,0.0024834437086092716,3,Eq_scores,Compound,U2OS,48,Long
0.002722381095725467,0.0033112582781456954,5,Eq_scores,Compound,U2OS,48,Long
0.0017660044150110375,0.0016556291390728477,1,CellProfiler,Compound,U2OS,48,Long
0.000980392156862745,0.0020695364238410598,3,CellProfiler,Compound,U2OS,48,Long
0.00112382099137066,0.0024834437086092716,5,CellProfiler,Compound,U2OS,48,Long
0.00010681478316599017,0.0008278145695364238,1,PCA,Compound,U2OS,48,Long
0.00019477989871445267,0.0004139072847682119,3,PCA,Compound,U2OS,48,Long
0.0005334805003679175,0.0012417218543046358,5,PCA,Compound,U2OS,48,Long
